00000101,Matthew,Jenkins,013,RB,21,136,979987.04
00000102,James,Leonard,023,RB,32,462,364253.92
00000103,Antonio,Olson,029,WR,156,-79,710204.25
00000104,John,Lin,021,RB,230,487,601324.71
00000105,Charles,Li,017,WR,126,53,259233.98
00000106,Brandon,Alexander,005,WR,107,410,626176.49
00000107,Michael,Davis,017,QB,211,218,376951.2
00000108,Adam,Bryant,003,QB,255,83,388671.04
00000109,Jeffrey,Freeman,011,WR,272,486,332524.47
00000110,Blake,Kelley,025,RB,163,421,136408.0
00000111,John,Hunter,013,WR,83,-93,722736.13
00000112,Steven,Banks,012,RB,211,290,700105.58
00000113,Christopher,Harrison,023,RB,227,-74,690339.6
00000114,Dustin,Henderson,014,WR,84,90,541863.91
00000115,Christopher,Lewis,023,RB,217,433,600365.97
00000116,Donald,Fuller,018,WR,97,323,932002.84
00000117,Michael,Thornton,001,RB,125,51,710302.32
00000118,Gary,Bryant,030,RB,150,-90,471358.84
00000119,Alexander,Stevenson,010,RB,258,0,585599.5
00000120,Matthew,Harmon,027,QB,154,182,420925.65
00000121,Stephen,Martin,011,WR,209,211,520316.57
00000122,Corey,Aguilar,028,WR,209,141,467463.38
00000123,Johnny,Griffin,012,QB,230,179,341285.73
00000124,Jacob,Lawrence,004,RB,23,147,184282.44
00000125,Randy,Baker,009,WR,274,136,616194.13
00000126,Robert,Estrada,021,WR,106,260,595268.62
00000127,Craig,Savage,019,WR,219,201,875107.78
00000128,Paul,Wilkins,016,WR,251,24,231358.51
00000129,Frederick,Garcia,014,QB,108,403,346822.96
00000130,Ronald,Clark,003,WR,44,63,624946.08
00000131,Jason,Flores,021,WR,278,192,638645.96
00000132,Scott,Reynolds,032,WR,200,100,297741.94
00000133,Jason,Copeland,008,RB,73,231,981013.88
00000134,Jonathan,House,029,QB,256,14,898293.5
00000135,Ricky,Graham,020,WR,112,388,589135.04
00000136,Curtis,Landry,030,RB,229,1,704211.02
00000137,Jeffrey,Houston,011,WR,104,293,631405.89
00000138,Kevin,Boyd,004,WR,173,165,574830.93
00000139,Joseph,Erickson,018,RB,4,-70,376241.72
00000140,Julian,Dixon,007,QB,197,-33,524835.33
00000141,Benjamin,Duran,015,QB,123,-69,565826.95
00000142,David,Gutierrez,027,QB,4,134,503709.87
00000143,Ryan,Alvarez,019,RB,138,38,701882.73
00000144,David,Clark,004,RB,104,152,395975.37
00000145,Mark,Gilmore,013,WR,39,-35,525841.51
00000146,Brian,Smith,013,WR,170,429,500893.75
00000147,Cameron,Nelson,001,WR,111,250,562458.65
00000148,William,Howard,020,RB,101,-26,324225.35
00000149,Dylan,Gilbert,029,RB,81,284,127914.46
00000150,Erik,Gross,020,QB,86,222,541023.89
00000151,Jeffrey,Williams,002,RB,285,459,374997.26
00000152,Jackson,Henry,018,QB,271,386,694969.99
00000153,Joseph,Smith,020,RB,186,321,730237.97
00000154,James,Hart,025,QB,113,-32,418452.84
00000155,Thomas,Cruz,003,RB,22,466,295921.22
00000156,Jose,Moss,032,QB,126,312,494829.88
00000157,Eric,Horton,017,WR,268,-23,518977.71
00000158,Phillip,Grant,012,WR,285,489,411873.13
00000159,Robert,Mendoza,017,RB,149,-35,955867.18
00000160,Dennis,George,019,WR,56,-54,948679.48
00000161,Alexander,Simmons,030,WR,207,457,494440.27
00000162,Andrew,Walsh,013,QB,69,232,772105.92
00000163,Peter,Stanton,008,WR,41,-47,899671.52
00000164,Luis,Rhodes,023,QB,202,375,781916.6
00000165,Richard,Martinez,001,QB,245,214,129260.38
00000166,Jared,Rivera,022,RB,275,262,970006.54
00000167,Jesus,Sims,005,WR,33,217,260700.38
00000168,Michael,Moody,024,QB,169,-36,106068.87
00000169,Christopher,Smith,009,QB,136,98,581122.6
00000170,Jonathan,Liu,004,RB,272,463,916989.77
00000171,John,Williams,022,QB,132,478,703970.59
00000172,Gary,Chung,010,QB,28,194,299507.18
00000173,Andrew,Miller,002,WR,93,-60,485613.54
00000174,Jeff,Brady,030,RB,57,430,798090.95
00000175,Matthew,Roberson,026,WR,3,339,166832.61
00000176,Joseph,Garcia,032,WR,61,397,195304.37
00000177,Kenneth,Butler,010,QB,64,60,482037.51
00000178,Marcus,Ruiz,001,QB,16,-21,532368.64
00000179,Michael,Thompson,023,QB,159,236,608148.04
00000180,Ian,Gutierrez,018,WR,255,287,731849.26
00000181,Raymond,Morgan,018,QB,114,257,734599.25
00000182,William,Choi,006,QB,190,403,816935.2
00000183,Seth,Anderson,004,QB,232,147,507556.87
00000184,James,Friedman,027,QB,267,305,307681.52
00000185,Anthony,Erickson,009,WR,35,-12,898164.75
00000186,Ethan,Powers,001,RB,131,-63,622996.55
00000187,Steven,Gonzales,030,WR,172,185,164467.92
00000188,Darryl,Gutierrez,028,QB,183,254,515879.59
00000189,Brian,Walsh,027,WR,201,120,148169.53
00000190,Eric,Stephenson,015,QB,74,333,675455.67
00000191,Christopher,Weeks,032,QB,209,192,678501.28
00000192,James,Vazquez,020,RB,160,104,961746.79
00000193,James,Thompson,010,RB,191,175,975658.9
00000194,William,Bishop,010,QB,173,375,478500.23
00000195,Christopher,Medina,008,WR,77,419,894222.35
00000196,Andrew,Gonzalez,021,RB,197,115,384025.4
00000197,Nicholas,Ramos,017,WR,278,-98,847247.94
00000198,Paul,Sanchez,002,RB,265,384,756149.18
00000199,Christopher,Stewart,030,WR,252,336,384182.43
00000200,Martin,Lawson,010,WR,225,360,468889.29
